Duration|Net Sales|Commision (in value)|Age|Agency|Agency Type|Distribution Channel|Product Name|Claim|Destination
365|216.0|54.0|57|2|0|1|4|0|109
4|10.0|0.0|33|7|1|1|10|0|73
19|22.0|7.7|26|9|0|1|8|0|52
20|112.0|0.0|59|7|1|1|1|0|129
8|16.0|4.0|28|2|0|1|9|0|109
2|10.0|0.0|36|7|1|1|10|0|109
25|50.0|0.0|36|7|1|1|0|0|63
90|78.0|0.0|22|7|1|1|10|0|109
4|22.0|7.7|39|9|0|1|8|0|119
24|80.0|0.0|36|7|1|1|10|0|41
43|40.0|0.0|28|7|1|1|1|0|59
365|216.0|54.0|27|2|0|1|4|0|109
103|26.0|9.1|48|9|0|1|8|0|63
376|252.85|63.21|43|2|0|1|4|1|109
6|10.0|0.0|43|7|1|1|10|0|109
16|47.0|0.0|36|7|1|1|1|0|53
8|25.0|0.0|27|7|1|1|0|0|59
27|10.0|0.0|51|7|1|1|10|0|109
34|23.0|0.0|36|7|1|1|0|0|119
3|20.0|0.0|65|7|1|1|1|0|73
14|10.0|0.0|47|7|1|1|10|0|73
12|30.0|10.5|35|9|0|1|8|1|134
31|80.0|0.0|54|7|1|1|10|0|129
43|42.0|0.0|36|7|1|1|1|0|3
5|10.0|0.0|23|7|1|1|10|0|73
7|56.0|0.0|46|7|1|1|1|0|119
56|19.8|11.88|33|6|1|1|16|0|129
29|14.0|0.0|36|7|1|1|10|0|52
30|16.0|4.0|58|2|0|1|9|1|109
8|30.0|10.5|42|9|0|1|8|0|119
58|29.7|17.82|31|6|1|1|16|0|37
19|10.0|0.0|36|7|1|1|10|0|128
9|36.0|23.4|29|11|1|1|18|0|113
2|30.0|7.5|37|2|0|1|17|0|109
24|31.0|0.0|36|7|1|1|10|0|119
38|58.0|0.0|36|7|1|1|10|0|3
12|9.9|5.94|26|6|1|1|16|0|112
4|15.0|0.0|68|7|1|1|10|0|109
42|21.0|0.0|36|7|1|1|10|0|49
11|29.0|0.0|36|7|1|1|10|0|73
2|32.0|0.0|35|7|1|1|1|0|71
30|125.0|43.75|43|9|0|1|25|0|128
8|48.0|0.0|36|7|1|1|1|0|23
13|29.7|17.82|27|6|1|1|16|0|73
34|20.0|0.0|36|7|1|1|10|0|113
24|0.0|23.76|27|6|1|1|16|0|127
3|21.04|7.36|48|1|0|1|2|0|54
40|33.0|0.0|36|7|1|1|1|0|116
